School	Rank	Tier	Retention	Grad.rate	Pct.20	Pct.50	Full.time	Top.10	Accept.rate	Alumni.giving
Harvard	1	1	97	98	77	8	93	95	8	40
Princeton	1	1	98	96	75	9	92	97	10	61
Yale	3	1	99	97	79	7	88	97	9	41
Cal Tech	4	1	98	88	71	6	97	97	17	31
MIT	4	1	98	94	65	13	90	97	12	37
Stanford	4	1	98	94	72	12	99	92	9	35
Penn	4	1	98	95	73	7	86	99	17	39
Columbia	8	1	99	95	77	8	92	94	10	36
Chicago	8	1	98	92	73	5	86	86	28	33
Duke	10	1	96	95	71	5	97	90	22	39
Dartmouth	11	1	98	95	63	9	93	90	13	51
Northwestern	12	1	97	93	75	7	96	85	26	31
Washington Univ	12	1	97	94	74	9	94	96	22	35
Johns Hopkins	14	1	97	91	65	11	98	84	25	35
Cornell	15	1	96	93	58	17	98	88	21	32
Brown	16	1	98	94	71	9	93	93	14	39
Emory	17	1	94	88	68	7	95	88	27	37
Rice	17	1	97	93	65	8	93	85	23	34
Vanderbilt	17	1	96	89	68	7	93	84	25	24
Notre Dame	20	1	98	96	55	9	96	87	27	50
Berkeley	21	1	97	90	60	15	90	98	22	13
Carnegie Mellon	22	1	95	87	64	11	94	73	38	20
Georgetown	23	1	97	93	56	6	77	93	19	28
UCLA	24	1	97	89	54	20	90	97	23	14
Virginia	24	1	97	93	50	14	98	88	37	23
USC	26	1	96	88	64	11	82	87	22	39
Michigan	27	1	96	88	46	18	93	92	42	17
Tufts	28	1	96	92	73	5	86	85	26	24
North Carolina	28	1	97	88	44	11	97	79	34	22
Wake Forest	28	1	93	88	56	2	92	64	38	32
Brandeis	31	1	94	90	69	7	88	82	32	32
NYU	32	1	93	84	60	11	73	68	32	11
William and Mary	33	1	95	91	45	7	92	79	34	22
Boston College	34	1	96	91	47	8	78	80	26	23
Georgia Tech	35	1	92	77	40	22	100	64	61	29
Lehigh	35	1	94	85	48	10	87	93	28	32
Univ Calif San Diego	35	1	94	85	42	30	93	100	42	7
Rochester	35	1	95	84	61	13	85	75	43	18
Illinois	39	1	93	82	39	18	99	55	69	14
Wisconsin	39	1	94	82	44	19	94	58	53	13
Case Western	41	1	92	81	59	11	93	63	73	19
RPI	42	1	93	82	53	10	93	64	44	16
Univ Calif Davis	42	1	90	81	34	28	94	98	53	11
Univ Calif Santa Barbara	42	1	91	87	49	17	94	96	49	18
Washington	42	1	93	77	35	17	93	87	61	18
Univ Calif Irvine	46	1	94	81	44	19	91	96	49	12
Penn State	47	1	93	85	32	18	95	43	51	20
Florida	47	1	95	82	40	22	99	75	39	17
Texas	47	1	92	78	36	23	97	75	44	16
Tulane	50	1	88	74	65	5	73	59	27	19
Miami	50	1	90	77	52	5	87	66	39	19
Yeshiva	52	2	88	84	65	0.4	89	51	67	22
George Washington	53	2	91	81	56	10	68	67	37	10
Ohio State	53	2	92	73	35	19	89	53	62	16
Maryland	53	2	93	82	35	14	89	73	39	12
Boston Univ	56	2	91	80	56	10	81	55	54	9
Pittsburgh	56	2	90	76	45	16	90	48	55	15
Pepperdine	58	2	89	81	68	3	78	40	34	12
Syracuse	58	2	91	80	63	8	84	39	53	18
Georgia	58	2	93	80	37	12	93	52	56	14
Clemson	61	2	90	79	49	12	95	50	54	28
Fordham	61	2	90	78	50		77	42	47	22
Purdue	61	2	85	72	37	15	95	30	72	16
Texas A&M	61	2	92	78	22	22	92	54	70	16
Minnesota	61	2	87	66	43	16	86	45	53	15
Rutgers	66	2	90	75	42	21	85	38	56	15
Univ Connecticut	66	2	93	76	45	15	90	39	54	19
SMU	68	2	88	74	58	7	84	42	50	17
Delaware	68	2	90	80	40	12	93	42	56	10
Worcester Poly	68	2	92	80	69	9	92	53	67	17
Brigham Young	71	2	87	79	47	10	90	51	69	20
Indiana 	71	2	88	73	34	19	95	31	71	15
Michigan State	71	2	91	75	24	21	95	31	70	15
Univ Calif Santa Cruz	71	2	89	76	45	21	88	96	72	10
Iowa	71	2	84	66	50	10	98	22	82	13
Virginia Tech	71	2	90	78	24	21	95	42	65	18
Colorado School Mines	77	2	84	68	43	13	89	52	62	25
Miami Univ	77	2	90	81	34	10	87	37	80	18
Colorado - Bolder	77	2	84	67	50	14	85	27	78	9
Baylor	80	2	85	73	45	9	90	41	51	18
Northeastern	80	2	91	70	56	8	88	49	35	10
SUNY - Binghamton	80	2	90	80	46	13	86	48	40	10
SUNY - Col of Envir	80	2	85	72	77	7	94	25	48	28
American	84	2	88	76	49	2	78	46	53	13
Marquette	84	2	90	76	39	12	80	36	65	18
Stevens Institute of Tech	84	2	89	75	43	6	80	53	52	22
Univ Denver	84	2	88	74	65	4	74	43	64	10
Auburn	88	2	86	64	28	15	96	39	71	33
Clark	88	2	88	73	59	5	83	39	56	22
Drexel	88	2	83	62	64	4	83	32	68	18
Iowa State	88	2	85	67	34	18	95	27	87	17
N.C. State	88	2	89	70	31	16	96	40	59	16
St. Louis	88	2	84	74	54	6	81	36	72	16
Tulsa	88	2	86	63	58	2	92	64	46	24
Vermont	88	2	86	71	48	11	92	29	65	18
Howard	96	2	87	65	63	4	88	26	49	13
SUNY - Stony Brook	96	2	88	61	37	20	84	38	43	13
Alabama	96	2	86	64	43	15	90	42	60	30
Univ Calif Riverside	96	2	85	68	39	19	94	94	78	7
Kansas	96	2	81	60	38	12	98	27	92	20
Univ Nebraska - Lincoln	96	2	84	64	39	14	100	25	63	23
Florida State	102	2	89	70	37	16	91	31	47	21
Arizona	102	2	79	57	42	11	91	32	81	6
Missouri	102	2	85	69	45	14	98	25	85	18
Oklahoma	102	2	84	62	48	11	91	36	82	21
Illinois Institute of Tech	106	2	85	64	60	4	81	42	57	11
Univ Mass - Amherst	106	2	84	69	36	17	95	25	64	12
Tennessee	106	2	83	60	30	8	97	41	65	12
Washington State	106	2	83	67	41	18	89	44	72	18
Texas Christian	110	2	85	69	48	6	83	32	50	21
Dayton	110	2	86	75	38	5	80	21	74	23
New Hamsire	110	2	87	73	44	16	84	24	65	10
Univ San Diego	110	2	85	75	36	0.2	72	39	52	8
Univ S.C. - Columbia	110	2	86	67	46	10	88	30	58	20
New Jersey Inst. of Tech	115	2	81	58	69	2	82	25	53	21
Ohio University	115	2	80	70	44	10	90	15	78	10
Oregon	115	2	84	67	38	16	87	26	85	15
Pacific	115	2	83	68	62	5	79	39	69	11
Clarkson	119	2	85	73	47	17	95	38	79	19
Loyola	119	2	84	66	29	13	70	34	74	10
Arizona State	121	2	79	56	46	14	95	31	90	11
Catholic Univ	121	2	81	71	53	7	76	24	81	9
Michigan Tech	121	2	82	65	43	12	94	28	75	19
SUNY - Buffalo	121	2	87	65	32	24	87	25	52	9
San Francisco	121	2	84	67	52	2	87	26	64	10
Samford	126	2	84	76	66	1	86	36	89	11
Utah	126	2	81	51	45	15	85	29	81	9
Colorado State	128	2	82	63	37	17	99	20	86	9
Duquesne	128	2	87	72	49	7	74	23	76	14
Louisiana State	128	2	84	61	34	20	96	26	73	13
Missouri Univ Sci Tech	128	2	87	62	36	13	93	39	92	20
Arkansas	128	2	82	58	33	16	97	30	58	18
Kentucky	128	2	79	58	29	16	91	26	79	12
Adelphi	NA	3	80	64	45	2	58	23	66	7
Andrews	NA	3	79	57	61	8	89	19	56	11
Azusa Pacific 	NA	3	81	65	63	2	96	31	63	NA
Ball State	NA	3	76	59	36	9	92	16	73	12
Biola	NA	3	85	70	46	5	78	41	81	11
Bowling Green	NA	3	76	58	41	6	94	12	87	9
DePaul	NA	3	84	64	39	1	74	22	64	6
Florida Inst Tech	NA	3	76	59	53	3	89	23	82	21
George Fox	NA	3	79	61	61	1	71	32	83	8
George Mason	NA	3	85	61	35	14	78	18	63	5
Hofstra	NA	3	79	55	47	4	72	26	53	9
Illinois State	NA	3	84	70	32	12	89	11	64	7
Kansas State	NA	3	79	58	45	11	95		84	18
Kent State	NA	3	72	50	50	7	80	12	74	5
Louisiana Tech 	NA	3	72	48	56	7	92	21	65	19
Mississippi State	NA	3	82	60	37	13	94	30	65	12
Montana State	NA	3	71	48	43	14	86	18	67	11
New School	NA	3	81	61	88	1	37	18	51	8
North Dakota State	NA	3	80	51	36	14	94	16	80	16
Oklahoma State	NA	3	79	60	37	14	92	27	89	15
Old Dominion	NA	3	77	47	38	13	82	12	72	8
Oregon State	NA	3	81	62	41	19	92	21	84	14
Pace	NA	3	75	57	49	1	66	18	75	6
Pacific	NA	3	79	67	67	3	81	39	78	13
Polytechnic Inst NY	NA	3	82	53	55	3	72	25	55	9
Rutgers - Newark	NA	3	87	59	28	18	83	24	50	11
San Diego State	NA	3	83	61	20	21	78	NA	31	4
Seton Hall	NA	3	84	61	48	2	73	25	73	9
South Carolina State	NA	3	65	45	45	3	90	7	75	10
Southern Illinois 	NA	3	69	45	51	5	95	9	69	7
St. John's	NA	3	78	61	38	6	71	18	46	18
St Mary's Univ Minn	NA	3	75	57	61	0	42	18	74	19
Temple	NA	3	86	65	36	7	73	20	61	9
Texas Tech	NA	3	83	57	25	21	98	21	72	16
SUNY - Albany	NA	3	84	64	24	23	76	15	50	9
Alabama - Birmingham	NA	3	77	40	41	13	97	27	82	11
Alabama - Huntsville	NA	3	77	48	34	13	86	23	89	5
Central Florida	NA	3	84	63	26	25	89	35	48	11
Cincinnati	NA	3	81	55	45	8	99	22	61	9
Hartford	NA	3	74	54	63	1	65		57	7
Hawaii - Manoa	NA	3	77	51	51	9	98	25	67	9
Idaho	NA	3	76	57	52	8	93	17	78	10
Illinois - Chicago	NA	3	79	48	36	19	91	25	60	7
La Verne	NA	3	83	60	78	0	74	24	59	10
Louisville	NA	3	78	46	26	13	84	28	70	14
Maine	NA	3	79	59	45	13	89	21	77	10
Maryland - Baltimore	NA	3	84	59	41	13	84	26	72	5
Mass - Lowell	NA	3	76	51	39	5	82	14	75	9
Mississippi	NA	3	80	56	47	15	94	NA	83	14
Missouri - Kansas City	NA	3	71	43	53	9	82	31	73	7
Montana	NA	3	72	42	47	12	90	17	96	15
Nevada - Reno	NA	3	76	48	36	14	99	22	91	13
New Mexico	NA	3	76	44	43	13	85	20	68	9
North Carolina - Greensboro	NA	3	77	53	43	13	86	13	72	7
North Dakota  	NA	3	76	54	40	9	97	16	75	15
Rhode Island	NA	3	81	58	34	9	99	NA	80	9
South Dakota	NA	3	72	47	44	6	95	11	83	14
South Florida	NA	3	83	48	27	14	97	25	46	15
St. Thomas	NA	3	88	72	38	2	73	20	81	15
Texas - Dallas	NA	3	82	59	28	26	86	40	54	5
Wyoming	NA	3	74	57	42	9	98	23	96	11
Utah State	NA	3	73	53	38	16	92	23	97	10
Virginia Commonwealth	NA	3	82	49	41	13	83	17	58	10
Western Michigan	NA	3	74	55	38	11	85	10	85	7
West Virginia	NA	3	81	56	45	16	89	19	88	7
Widener	NA	3	72	56	61	1	72	14	67	9
Barry	NA	4	63	41	68	1	76	NA	62	9
Central Michigan	NA	4	77	57	33	11	83	13	70	9
Clark Atlanta	NA	4	70	45	38	5	88	NA	57	9
Cleveland State	NA	4	60	26	45	8	76	12	65	
East Carolina	NA	4	77	54	NA	NA	99	12	74	9
East Tennessee State	NA	4	69	42	45	6	84	19	90	6
Florida A&M	NA	4	82	40	31	15	NA	NA	64	1
Florida Atlantic	NA	4	74	39	32	11	82	8	49	4
Florida International	NA	4	82	49	26	20	79	NA	33	7
Georgia Southern	NA	4	79	45	25	12	96	16	50	10
Georgia State	NA	4	81	43	18	15	88	NA	55	4
Golden Gate	NA	4	NA	20	94	0	NA	NA	100	NA
Idaho State	NA	4	56	27	NA	NA	NA	NA	NA	67
Immaculata	NA	4	68	47	74	0	48		80	15
Indiana State	NA	4	67	43	50	5	87	10	66	13
Indiana Univ Pa	NA	4	75	51	36	13	97	8	64	9
Indiana U - Purdue U	NA	4	66	32	36	10	88	17	70	10
Jackson State	NA	4	72	35	27	4	91	NA	52	NA
Long Island	NA	4	71	42	62	3	58	10	84	4
Morgan State	NA	4	68	33	NA	NA	92	NA	44	NA
New Mexico State	NA	4	76	45	52	9	88	19	82	7
North Carolina A&T	NA	4	69	40	NA	NA	NA	NA	NA	10
Northern Arizona	NA	4	71	52	38	10	78	37	74	5
Northern Illinois	NA	4	78	51	42	11	91	9	58	8
Nova Southeastern	NA	4	62	42	72	0.3	67	15	45	3
Oakland	NA	4	72	44	41	13	76		85	4
Oral Roberts	NA	4	79	53	66	5	84	23	73	8
Portland State	NA	4	68	31	31	15	78	NA	90	4
Regent 	NA	4	66	NA	66	0	58	NA	88	6
South Dakota State	NA	4	76	53	30	12	88	16	93	NA
Spalding	NA	4	64	32	68	0	71	NA	43	8
Tennessee State	NA	4	73	38	43	3	90	NA	39	9
Texas A&M - Commerce	NA	4	61	34	67	1	77	17	74	1
Texas A&M - Kingsville	NA	4	61	27	45	2	89	9	86	4
Texas Woman	NA	4	71	44	48	6	68	18	56	NA
Trevecca Nazarene	NA	4	70	49	67	3	67	18	69	7
Trinity International	NA	4	73	52	60	1	77	25	97	13
Akron	NA	4	67	33	41	6	73	12	75	15
Alaska - Fairbanks	NA	4	72	27	64	4	58	13	71	4
Arkansas - Little Rock	NA	4	NA	21	NA	NA	NA	NA	NA	NA
Bridgeport	NA	4	54	40	67	0.4	45	11	62	2
Colorado - Denver	NA	4	72	37	32	9	91	20	63	4
Houston	NA	4	78	42	31	24	87	21	79	8
Louisiana - Lafayette	NA	4	73	40	30	7	92	15	68	6
Mass - Boston	NA	4	73	33	36	5	76	NA	63	6
Memphis	NA	4	73	39	39	9	83	17	67	7
Missouri - St. Louis	NA	4	72	46	46	8	78	22	58	8
Nevada - Las Vegas	NA	4	74	41	27	16	84	20	73	5
New Orleans	NA	4	72	22	44	10	90	16	55	2
North Carolina - Charlotte	NA	4	77	51	31	16	88	12	76	5
Northern Colorado	NA	4	69	50	28	14	82	12	93	5
North Texas	NA	4	75	45	30	19	79	21	64	7
